cloneId	symbol	pDNA.p0.10025	pDNA.p0.10025_10056	pDNA.p0.110625	pDNA.p0.110709	pDNA.p0.110709_10056	pDNA.p0.54_10051	HPAFII_PANCREAS.p5.A	HPAFII_PANCREAS.p5.B	HPAFII_PANCREAS.p5.C	HPAFII_PANCREAS.p5.D
TRCN0000003022	PSTPIP2	8	8	12	9	8	8	4	35	2	20
TRCN0000003028	CCRN4L	3	3	3	3	3	3	2	1	5	4
TRCN0000003076	PPP1R12C	10	9	12	11	10	11	6	4	21	4
TRCN0000003133	PRKAB2	6	6	7	7	7	8	9	1	6	22
TRCN0000003176	ARHGEF2	19	21	26	21	20	23	15	7	9	27
TRCN0000003212	KIAA1804	18	19	17	18	18	18	10	5	6	4
TRCN0000003222	TSSK2	14	15	15	13	14	13	34	12	64	49
TRCN0000003223	TSSK2	12	12	13	13	13	12	16	20	33	29
TRCN0000003291	GSC	9	5	17	14	7	10	2	2	5	3
TRCN0000003294	COL3A1	17	18	19	18	18	18	22	8	9	7
TRCN0000003301	ESR1	16	17	15	14	15	15	3	10	4	14
TRCN0000003307	HGF	39	39	28	41	38	45	4	3	6	10
TRCN0000003329	FGF2	5	6	3	5	5	5	3	6	6	2
TRCN0000003333	FGF2	17	20	15	19	19	20	16	26	12	32
TRCN0000003355	MAML1	13	13	18	11	13	12	1	1	1	1
TRCN0000003457	TRIM32	11	10	3	3	9	11	6	11	5	2
TRCN0000003471	SMURF1	14	12	13	14	13	13	21	10	23	8
TRCN0000003510	CASP4	8	9	13	10	9	9	3	2	14	5
TRCN0000003534	C1S	9	6	10	14	7	12	4	10	11	17
TRCN0000003539	CAPN2	9	9	16	11	10	12	6	4	12	3
TRCN0000003548	CAPNS1	9	9	7	10	9	9	1	3	1	1
TRCN0000003578	CASP8	16	14	14	15	14	15	17	17	26	18
TRCN0000003607	CTSC	18	18	22	19	19	18	124	20	28	29
TRCN0000003615	CMA1	16	16	14	15	17	16	4	14	27	9
TRCN0000003622	COL6A3	20	20	21	23	21	21	26	18	40	32
TRCN0000003628	CTSK	34	36	21	37	33	26	43	77	43	32
TRCN0000003629	CTSK	19	21	9	18	16	18	42	9	34	26
TRCN0000003682	CELA1	14	16	17	18	19	16	13	5	8	3
TRCN0000003714	AR	5	6	15	6	5	6	20	21	10	9
TRCN0000003715	AR	45	44	50	44	45	51	69	15	89	27
TRCN0000003719	ERCC8	15	14	16	16	16	17	4	1	2	3
TRCN0000003720	ERCC8	18	18	21	20	20	19	29	4	11	14
TRCN0000003723	ERCC8	23	22	31	23	26	24	11	46	32	38
TRCN0000003739	APOB	4	4	4	6	5	4	1	1	1	1
TRCN0000003758	TNF	19	20	24	20	21	21	10	11	14	27
TRCN0000003761	NOS2	14	15	11	16	15	16	20	12	20	10
TRCN0000003816	ARNT	15	15	16	14	15	14	4	2	2	2
TRCN0000003831	CCNF	17	20	19	19	20	21	5	19	7	9
TRCN0000003884	PSMA4	11	11	12	11	11	12	1	1	1	1
TRCN0000003885	PSMA4	9	10	8	11	10	11	1	9	7	1
TRCN0000003911	PSMB3	9	8	15	10	9	12	1	1	1	1
TRCN0000003918	PSMB5	6	5	10	6	6	7	1	2	2	3
TRCN0000003925	PSMB6	66	69	66	66	63	62	1	1	7	1
TRCN0000003981	SRF	4	4	5	4	5	4	1	6	1	2
TRCN0000003998	UBA52	10	10	14	10	11	9	48	39	80	68
TRCN0000004004	UBA1	7	9	9	9	10	9	13	2	2	2
TRCN0000004026	UBE2H	19	21	17	18	21	23	2	2	4	1
TRCN0000004027	UBE2H	3	3	6	4	4	4	1	1	1	1
TRCN0000004032	TMEM189-UBE2V1	4	4	5	4	4	4	2	1	3	1
TRCN0000004053	CXCR4	23	26	18	25	23	25	45	114	47	48
TRCN0000004069	USP5	14	15	13	16	15	16	1	1	1	1
TRCN0000004091	RCHY1	15	15	25	15	15	15	5	8	3	7
TRCN0000004143	RLIM	25	24	26	27	25	28	26	40	38	44
TRCN0000004154	ANAPC5	16	17	17	20	19	17	11	47	35	60
TRCN0000004157	BIRC6	29	29	19	25	27	31	3	7	2	2
TRCN0000004168	HERC5	18	17	25	22	19	25	7	5	5	6
TRCN0000004178	RNF141	20	22	18	22	19	24	36	34	38	30
TRCN0000004227	UBE2R2	13	14	20	13	14	16	2	5	1	3
TRCN0000004261	RNF13	19	19	23	22	21	19	35	21	38	21
TRCN0000004269	AUP1	13	12	17	12	13	14	2	8	4	1
TRCN0000004280	FBXL2	49	52	49	51	46	45	13	22	25	13
TRCN0000004282	FBXL3	19	19	8	19	19	20	49	18	46	17
TRCN0000004289	FBXL21	36	40	25	34	33	35	55	110	94	94
TRCN0000004333	FBXO5	26	25	29	19	29	32	51	35	30	79
TRCN0000004335	FBXO5	13	15	16	19	17	18	1	1	1	1
TRCN0000004373	UBQLN1	25	26	20	27	28	28	5	2	5	5
TRCN0000004386	UBE2T	9	8	12	9	8	7	2	5	8	8
TRCN0000004397	SENP1	15	18	15	15	15	17	12	23	8	14
TRCN0000004402	UBXN4	15	14	11	15	15	14	27	82	58	30
TRCN0000004410	HERPUD1	24	27	19	22	21	23	4	3	16	2
TRCN0000004432	ANAPC10	30	27	24	21	29	31	10	4	26	8
TRCN0000004471	IMPACT	21	19	24	21	20	19	24	11	11	32
TRCN0000004473	UBAP2	23	23	17	19	20	23	70	58	55	36
TRCN0000004479	USP49	12	12	15	14	10	13	3	17	4	7
TRCN0000004493	TNRC6C	16	16	19	7	18	16	4	7	20	9
TRCN0000004511	DIABLO	18	17	19	18	17	16	29	12	10	14
TRCN0000004544	SENP7	22	21	20	23	22	24	1	2	4	1
TRCN0000004548	USP31	14	14	16	18	15	17	31	13	6	16
TRCN0000004566	USP29	20	21	23	20	20	21	17	12	32	57
TRCN0000004579	SENP2	20	22	18	18	22	19	4	1	4	3
TRCN0000004590	UBE2O	5	4	8	5	4	3	1	1	1	1
TRCN0000004593	PJA1	20	22	26	26	25	26	30	9	11	30
TRCN0000004598	HERPUD2	20	22	14	18	19	17	10	20	18	12
TRCN0000342274	HRAS	7	7	12	8	9	8	2	4	6	16
TRCN0000010379	MET	8	8	9	7	7	7	8	6	3	3
TRCN0000010398	NF2	19	19	23	20	16	19	7	32	35	36
TRCN0000009871	THBS1	4	5	6	5	5	4	2	1	4	1
TRCN0000010473	CDK6	6	6	7	5	5	4	4	1	3	5
TRCN0000010486	CDKN1C	3	3	3	4	4	4	2	180	5	1
TRCN0000010503	SMARCB1	12	11	9	12	12	7	10	1	2	6
TRCN0000010287	SFN	4	3	3	3	3	4	10	2	6	20
TRCN0000010294	IGBP1	7	9	8	8	9	9	9	11	3	7
TRCN0000010304	BCL2	16	14	14	13	16	16	1	3	1	9
TRCN0000009928	TRPV5	9	8	12	8	7	7	17	27	30	22
TRCN0000009933	DCK	16	16	13	17	17	18	3	6	4	2
TRCN0000055426	DAPK3	30	32	37	32	30	38	26	14	16	7
TRCN0000055427	CSNK1E	46	49	57	44	42	43	6	2	1	2
TRCN0000320597	HCK	8	6	4	3	5	8	2	1	1	1
TRCN0000009984	TEC	16	17	7	5	15	16	9	4	83	6
TRCN0000009997	TXK	17	20	15	14	14	16	14	8	6	1
TRCN0000009996	CSK	11	11	24	14	11	9	23	50	39	91
TRCN0000010031	PRKG1	13	14	13	11	12	12	1	1	4	3
TRCN0000010032	PRKG1	24	23	33	27	26	28	42	36	101	32
TRCN0000010029	FIGN	16	18	21	14	14	10	7	4	18	9
TRCN0000010151	ACVR1B	16	18	18	22	21	21	26	5	3	6
TRCN0000010164	EPHA4	20	23	20	22	22	21	4	1	1	3
TRCN0000010110	NME2	7	7	6	7	7	6	5	3	1	5
TRCN0000344537	CHEK2	10	10	14	10	10	8	6	15	33	4
TRCN0000010232	EIF2AK1	13	12	23	17	16	14	45	8	12	16
TRCN0000273300	ETNK1	16	15	16	11	16	15	21	9	6	5
TRCN0000010259	CDK16	21	19	17	21	21	23	65	88	87	50
TRCN0000010281	SGK3	15	14	14	16	13	14	4	2	2	3
TRCN0000001518	SGK3	21	22	21	25	22	28	30	44	11	11
TRCN0000000005	DDX3X	17	17	15	18	16	15	86	49	26	149
TRCN0000000006	DHX15	10	9	15	8	10	12	1	1	1	2
TRCN0000000019	PRPF18	4	4	4	4	4	4	9	1	22	1
TRCN0000000041	SF3B4	22	21	23	21	20	21	4	1	2	2
TRCN0000000051	RNPS1	13	14	15	11	10	10	5	6	10	6
TRCN0000000064	KIN	16	18	18	15	15	18	37	39	7	61
TRCN0000000074	SF3B1	16	16	18	16	15	18	1	1	2	1
TRCN0000000100	SRSF2	10	10	16	11	12	9	2	1	2	3
TRCN0000000114	THOC5	14	11	9	14	11	14	16	7	8	3
TRCN0000000135	CWC27	13	16	19	13	12	11	17	20	56	20
TRCN0000000160	PPIL2	14	14	9	13	13	11	23	32	36	41
TRCN0000000161	PPIL2	20	19	21	19	20	19	8	30	23	11
TRCN0000000171	PPIL1	13	15	13	12	13	14	23	5	17	112
TRCN0000000182	GCFC1	11	13	9	14	13	14	2	1	1	1
TRCN0000000203	PRIM2	16	15	14	18	16	18	14	14	12	17
TRCN0000000210	KCNMA1	10	8	11	9	9	8	15	12	9	19
TRCN0000000223	RGS2	22	24	25	24	21	23	9	17	11	32
TRCN0000000233	RAD54L	11	10	13	12	12	10	2	1	10	1
TRCN0000000234	FKBP5	16	17	20	14	12	15	21	25	42	29
TRCN0000000241	TGM2	13	13	8	6	13	14	3	2	1	3
TRCN0000000248	IDE	14	17	13	14	15	16	74	74	126	103
TRCN0000000249	E2F1	9	8	11	9	9	8	9	4	12	4
TRCN0000000278	BACE1	14	16	11	15	15	9	2	3	6	10
TRCN0000000296	GREB1	19	21	22	18	19	20	3	18	8	23
TRCN0000000305	MPP6	18	18	20	20	19	17	5	1	6	3
TRCN0000000317	CSGALNACT1	19	20	14	19	19	20	33	20	21	17
TRCN0000000352	THOC4	7	8	11	9	9	8	1	1	1	1
TRCN0000000365	CDK4	24	26	37	27	27	23	11	5	1	6
TRCN0000000376	GUCY2D	15	14	23	16	13	15	7	4	9	9
TRCN0000000388	KIT	11	13	19	13	13	13	26	25	29	96
TRCN0000000399	PHKG2	11	10	4	9	10	11	32	21	14	10
TRCN0000000404	RET	14	14	14	12	13	15	11	4	25	11
TRCN0000000411	STK11	17	19	13	17	16	17	4	8	3	12
TRCN0000000426	IGF1R	9	10	11	10	10	10	2	2	2	4
TRCN0000000446	ACVR2B	14	16	12	16	16	16	8	6	19	3
TRCN0000000467	CAMK2B	11	11	16	12	10	8	2	8	5	1
TRCN0000000481	CDK3	11	11	17	14	12	11	19	22	36	18
TRCN0000000496	CDK9	14	14	15	13	15	17	56	85	58	72
TRCN0000000504	CHUK	10	11	9	13	11	12	12	19	2	2
TRCN0000000509	MAPK14	25	26	44	27	30	27	22	30	18	7
TRCN0000000525	DYRK1A	17	20	25	20	18	16	65	42	46	27
TRCN0000000589	CDK2	12	13	11	13	13	12	2	4	1	5
TRCN0000000669	DGKZ	5	5	4	5	4	5	16	5	9	5
TRCN0000000693	CASK	12	11	17	13	12	13	14	2	3	3
TRCN0000000702	CDK13	12	12	13	15	14	16	79	70	54	86
