cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000059338	ABCA3	10.5665788286237	10.0679881927772	9.94087183377746	6.37269650240011	7.23942611633241	7.84106906966997
TRCN0000059339	ABCA3	4.95515927938686	3.50028325779757	5.54513900819922	5.86374752206363	2.89812267017679	4.90625217921813
TRCN0000059340	ABCA3	7.5349459345927	7.51518725046894	7.13776194017712	7.21503899620161	6.92095778231604	7.80179492717206
TRCN0000059341	ABCA3	10.8317935243874	10.5319797779929	10.591305633987	8.5645551152236	9.11732109854245	8.98523620986329
TRCN0000059342	ABCA3	9.28327191160536	9.67456981264255	9.1063743853009	10.3102780845879	6.50631396648616	10.9465282186424
TRCN0000059523	ABCA7	11.7175002299272	11.7792236894399	11.772277818021	11.6036855748988	11.9356758950531	11.7325555470687
TRCN0000059524	ABCA7	10.0654018124569	10.5166407664505	10.2181985474932	11.0835957881917	10.2833002971927	11.0700652433474
TRCN0000059525	ABCA7	11.4780450921393	11.0222410813916	11.2487218133006	11.5324493868233	11.481170400979	11.4158191409445
TRCN0000059526	ABCA7	10.6233501251737	10.5026791982526	10.7555631059216	11.8026823019406	11.3345173728634	11.4391015178781
TRCN0000059527	ABCA7	10.9570834410468	10.7188334524624	10.9649721906935	10.8552659969081	10.3125509451942	9.79806970584585
TRCN0000060183	ABCC10	11.6366922995323	11.5889020261478	11.6971004799434	10.916264098271	10.4206127237289	11.0933219081764
TRCN0000060184	ABCC10	10.9322570264555	10.7515115348208	10.7694467539144	10.6376261968498	10.4812788338923	9.70566323136118
TRCN0000060185	ABCC10	9.34963741374954	9.32371610631298	9.70869173783011	10.6359520565766	10.6866281025833	10.6313505378671
TRCN0000060186	ABCC10	11.8818551593163	11.9827683240645	12.0263809057349	11.305935098565	11.2202507501404	11.2414038898798
TRCN0000060187	ABCC10	11.9285604435844	11.839088431595	11.879043196054	12.2379935948401	11.9058395696305	12.0772409016001
TRCN0000059713	ABCC6	10.9603953896073	11.1965804858947	11.0934434490533	9.06348901099397	9.19532635813598	8.60853693754089
TRCN0000059714	ABCC6	11.1191982522162	10.8405948027899	10.7195171821513	11.683942110798	11.3637444451849	11.0536804515728
TRCN0000059715	ABCC6	11.8811899640429	12.1038863741593	11.9214791429973	8.86744840652621	9.9073351941539	7.19056730678986
TRCN0000059716	ABCC6	10.147018295788	9.61014535202468	9.99378431610923	10.3844507591181	10.4303711629131	11.35724401846
TRCN0000059717	ABCC6	10.0406781560778	9.492627518432	9.46707444612023	6.84701585045814	9.47872871129916	10.0751589229797
TRCN0000075323	ABHD14B	11.8567627828047	11.7155613154349	11.8581386254662	11.7546506836494	11.7458452967385	11.8125944991608
TRCN0000075324	ABHD14B	10.8579097190927	10.4589172458976	10.3537999248777	9.20918296974415	9.86119176457248	6.42538774481549
TRCN0000075325	ABHD14B	11.1575972511365	10.9096514958091	10.9794579567523	10.9333495043584	11.2360941172928	10.9548611663454
TRCN0000075326	ABHD14B	11.7644902571137	11.9907153475476	11.8277510387773	12.3346807484308	12.2818745046069	12.2273823800221
TRCN0000075327	ABHD14B	10.671365919255	10.6648385318271	10.2296471876514	11.2317698356994	11.1183164432851	10.8246577669787
TRCN0000035244	ABO	9.14782217195534	9.26344219640068	9.27218803545049	9.46637489774565	9.19584783044927	9.48752792142978
TRCN0000035245	ABO	1.88258714274901	2.99899195322347	3.35426392982246	5.84879714477922	5.60662376345763	4.36942591583499
TRCN0000035246	ABO	11.5832552410539	11.3040860158785	11.6810562333162	12.2674422713902	11.8880177783291	11.8387581186459
TRCN0000035247	ABO	11.1853459770302	11.2874537154015	11.1005591172152	10.7008818059005	10.7298203988591	11.4180817395259
TRCN0000035248	ABO	6.7358900206106	6.82040279476079	6.49426365292578	8.07710949594979	8.53687795740818	8.54707265835376
TRCN0000019604	ACAD8	12.6528527884501	12.5706383419752	12.547836427128	12.4099018550377	12.3079565473632	12.348817394462
TRCN0000019605	ACAD8	11.4564556516594	11.4630168310631	11.3547638309311	11.9789536720832	11.9462380822021	11.9232101596064
TRCN0000019606	ACAD8	10.3823149770976	10.7641791269333	10.3658616520505	11.0844784646932	11.2293077450891	10.7450728903973
TRCN0000019607	ACAD8	10.715202035125	10.6931250288144	10.7067660624604	10.2203560001898	9.70447007035447	10.2701136316943
TRCN0000019608	ACAD8	12.2195077297221	12.2403226836017	12.2463705670252	11.9765510200795	12.0021532478332	11.9865019758377
TRCN0000045698	ACSM1	11.6078768115979	11.6952109728499	11.6761270263251	11.9817726060518	11.6709620490052	11.6166650110518
TRCN0000045699	ACSM1	11.8988302903375	11.9671093573926	11.9064415111064	11.9923744008519	12.1680943154605	12.0863570010986
TRCN0000045700	ACSM1	11.1990428007699	11.2834071073932	11.3038182207574	11.4850741035439	11.0085002140904	11.6675865800283
TRCN0000045701	ACSM1	11.6612694504838	11.6783666828136	11.8694032647722	11.9595498454017	12.0755948335383	12.0889266552168
TRCN0000045702	ACSM1	9.7490624712019	9.47839685694762	9.45112207114392	10.5812426376163	10.1489537515645	9.54306251026217
TRCN0000051483	ADA	9.9214892300066	9.674857297953	10.1007316961886	10.5989250736243	10.6236614222435	10.7393497704645
TRCN0000051485	ADA	6.07178988837454	6.04484537244687	6.22312654622326	6.55658872078463	6.81741304351794	6.91399015821295
TRCN0000051486	ADA	10.9344372075893	10.8891730433639	10.9182189157163	10.9228940513882	10.5417886348225	10.4779599401802
TRCN0000051487	ADA	5.22742920156885	5.72535286367827	5.42399081611778	5.8309531799361	6.01423465019935	6.1660892178445
