cloneId	geneSymbol	T0_A	T0_B	T0_C	T16_A	T16_B	T16_C
TRCN0000048357	ARHGAP27	13	13	14	2	2	1
TRCN0000047465	ARHGEF11	12	12	12	80	13	8
TRCN0000047466	ARHGEF11	12	9	15	17	18	5
TRCN0000047467	ARHGEF11	20	19	21	10	132	25
TRCN0000064948	ARL13B	22	24	25	31	114	49
TRCN0000064949	ARL13B	9	5	5	2	8	10
TRCN0000064951	ARL13B	14	8	7	1	4	3
TRCN0000064952	ARL13B	25	28	32	7	10	3
TRCN0000051618	ARSD	21	20	11	7	3	7
TRCN0000051619	ARSD	26	22	15	7	12	13
TRCN0000051620	ARSD	18	19	20	2	5	6
TRCN0000051621	ARSD	15	18	25	29	31	38
TRCN0000045873	ASNS	19	19	20	7	1	15
TRCN0000045874	ASNS	17	11	17	37	61	34
TRCN0000045875	ASNS	10	10	8	12	13	15
TRCN0000045876	ASNS	15	16	10	8	7	6
TRCN0000045877	ASNS	20	23	21	7	3	7
TRCN0000013586	ATOH1	14	14	14	35	24	25
TRCN0000051008	ATP4A	47	48	45	161	32	30
TRCN0000051010	ATP4A	36	36	34	7	6	2
TRCN0000051011	ATP4A	19	19	23	6	26	14
TRCN0000038429	ATP6V0A1	29	26	4	35	28	22
TRCN0000038430	ATP6V0A1	13	8	9	7	7	19
TRCN0000038431	ATP6V0A1	27	26	26	32	48	31
TRCN0000038432	ATP6V0A1	13	13	8	14	26	24
TRCN0000038433	ATP6V0A1	25	23	28	8	7	7
TRCN0000003730	ATXN1	20	22	21	15	2	30
TRCN0000003731	ATXN1	12	11	13	2	1	1
TRCN0000003732	ATXN1	15	16	18	1	2	4
TRCN0000033589	BAG2	27	25	24	69	49	75
TRCN0000033590	BAG2	16	15	12	2	1	1
TRCN0000033591	BAG2	21	24	24	12	19	19
TRCN0000033592	BAG2	22	21	20	19	24	10
TRCN0000033593	BAG2	14	13	8	29	37	43
TRCN0000033459	BCOR	13	9	31	6	8	6
TRCN0000033460	BCOR	27	29	23	48	51	83
TRCN0000033461	BCOR	27	30	25	49	20	53
TRCN0000033462	BCOR	37	39	38	38	29	102
TRCN0000033463	BCOR	14	15	17	18	5	16
TRCN0000074893	BUD13	20	17	24	3	13	8
TRCN0000074894	BUD13	20	17	20	24	17	7
TRCN0000074895	BUD13	18	18	13	12	3	13
TRCN0000074896	BUD13	18	16	18	3	41	4
TRCN0000074897	BUD13	11	11	8	57	15	10
TRCN0000005647	C1orf56	5	5	4	12	16	3
TRCN0000005648	C1orf56	12	11	10	5	5	3
TRCN0000005649	C1orf56	10	12	7	3	17	19
TRCN0000005766	C2orf49	21	22	20	57	44	46
TRCN0000005769	C2orf49	5	4	5	1	1	1
TRCN0000005770	C2orf49	10	11	4	7	4	9
TRCN0000061763	CASP8AP2	23	23	24	37	7	27
TRCN0000061764	CASP8AP2	31	33	23	66	66	72
TRCN0000061765	CASP8AP2	8	6	8	2	13	2
TRCN0000061766	CASP8AP2	40	46	46	1	1	4
TRCN0000061767	CASP8AP2	36	32	20	1	1	3
TRCN0000046373	CBR1	22	23	18	24	90	17
TRCN0000046374	CBR1	20	22	17	3	1	1
TRCN0000046375	CBR1	18	18	21	23	13	10
TRCN0000046376	CBR1	9	8	9	31	9	11
TRCN0000046377	CBR1	18	19	16	24	33	33
TRCN0000020189	CCNC	13	13	9	8	7	7
TRCN0000020190	CCNC	5	6	4	1	1	1
TRCN0000020191	CCNC	5	6	4	10	1	4
TRCN0000020193	CCNC	7	8	3	4	3	4
TRCN0000045318	CCNG2	17	17	17	12	2	7
TRCN0000045319	CCNG2	7	3	16	5	12	12
TRCN0000045320	CCNG2	9	8	10	11	4	1
TRCN0000045321	CCNG2	19	19	7	9	2	7
TRCN0000045322	CCNG2	12	12	9	2	10	25
TRCN0000078253	CDADC1	19	20	21	1	1	1
TRCN0000078254	CDADC1	10	9	9	29	24	60
TRCN0000078256	CDADC1	25	22	29	5	7	7
TRCN0000017933	CDCA7L	26	26	33	8	16	9
TRCN0000017934	CDCA7L	20	18	18	42	39	55
TRCN0000017935	CDCA7L	9	9	12	1	2	4
TRCN0000017936	CDCA7L	17	16	24	52	20	41
TRCN0000017937	CDCA7L	23	21	17	20	33	15
